_RAJ2000;_DEJ2000;recno;HR;Name;HD;ADS;VarID;RAJ2000;DEJ2000;Vmag;B-V;SpType;NoteFlag
024.428750;-57.236667;     472; 472;   Alp Eri; 10144;     ;Var      ;01 37 42.9;-57 14 12; 0.46;-0.16;  B3Vpe             ;*
068.980000;+16.509167;    1457;1457; 87Alp Tau; 29139; 3321;Alp Tau  ;04 35 55.2;+16 30 33; 0.85; 1.54;  K5+III            ;*
079.172500;+45.998056;    1708;1708; 13Alp Aur; 34029; 3841; 1897    ;05 16 41.4;+45 59 53; 0.08; 0.80;  G5IIIe+G0III      ;*
078.634583; -8.201667;    1713;1713; 19Bet Ori; 34085; 3823; 1882    ;05 14 32.3;-08 12 06; 0.12;-0.03;  B8Ia:             ;*
088.792917; +7.406944;    2061;2061; 58Alp Ori; 39801; 4506;Alp Ori  ;05 55 10.3;+07 24 25; 0.50; 1.85;  M1-2Ia-Iab        ;*
095.987917;-52.695833;    2326;2326;   Alp Car; 45348;     ;         ;06 23 57.1;-52 41 45;-0.72; 0.15;  F0II              ;*
101.287083;-16.716111;    2491;2491;  9Alp CMa; 48915; 5423;         ;06 45 08.9;-16 42 58;-1.46; 0.00;  A1Vm              ;*
104.656250;-28.972222;    2618;2618; 21Eps CMa; 52089; 5654;         ;06 58 37.5;-28 58 20; 1.50;-0.21;  B2II              ;*
114.825417; +5.225000;    2943;2943; 10Alp CMi; 61421; 6251; 3672    ;07 39 18.1;+05 13 30; 0.38; 0.42;  F5IV-V            ;*
116.328750;+28.026111;    2990;2990; 78Bet Gem; 62509; 6335; 3712    ;07 45 18.9;+28 01 34; 1.14; 1.00;  K0IIIb            ;*
152.092917;+11.967222;    3982;3982; 32Alp Leo; 87901; 7654; 4750    ;10 08 22.3;+11 58 02; 1.35;-0.11;  B7V               ;*
186.649583;-63.099167;    4730;4730;   Alp1Cru;108248;     ;         ;12 26 35.9;-63 05 57; 1.33;-0.24;  B0.5IV            ;*
191.930000;-59.688611;    4853;4853;   Bet Cru;111123;     ;Bet Cru  ;12 47 43.2;-59 41 19; 1.25;-0.23;  B0.5III           ;*
201.298333;-11.161389;    5056;5056; 67Alp Vir;116658;     ;Alp Vir  ;13 25 11.6;-11 09 41; 0.98;-0.23;  B1III-IV+B2V      ;*
210.955833;-60.373056;    5267;5267;   Bet Cen;122451;     ;Bet Cen  ;14 03 49.4;-60 22 23; 0.61;-0.23;  B1III             ;*
213.915417;+19.182500;    5340;5340; 16Alp Boo;124897;     ; 6603    ;14 15 39.7;+19 10 57;-0.04; 1.23;  K1.5IIIFe-0.5     ;*
219.899583;-60.835278;    5459;5459;   Alp1Cen;128620;     ;         ;14 39 35.9;-60 50 07;-0.01; 0.71;  G2V               ;*
219.900417;-60.835556;    5460;5460;   Alp2Cen;128621;     ;         ;14 39 36.1;-60 50 08; 1.33; 0.88;  K1V               ;*
247.351667;-26.431944;    6134;6134; 21Alp Sco;148478;10074;Alp Sco  ;16 29 24.4;-26 25 55; 0.96; 1.83;  M1.5Iab-Ib+B4Ve   ;*
279.234583;+38.783611;    7001;7001;  3Alp Lyr;172167;11510;Alp Lyr  ;18 36 56.3;+38 47 01; 0.03; 0.00;  A0Va              ;*
297.695833; +8.868333;    7557;7557; 53Alp Aql;187642;13009;         ;19 50 47.0;+08 52 06; 0.77; 0.22;  A7V               ;*
310.357917;+45.280278;    7924;7924; 50Alp Cyg;197345;14172;Alp Cyg  ;20 41 25.9;+45 16 49; 1.25; 0.09;  A2Ia              ;*
344.412917;-29.622222;    8728;8728; 24Alp PsA;216956;     ;14372    ;22 57 39.1;-29 37 20; 1.16; 0.09;  A3V               ;*
