_RAJ2000;_DEJ2000;recno;HR;Name;HD;ADS;VarID;RAJ2000;DEJ2000;Vmag;B-V;SpType;NoteFlag
003.309167;+15.183611;      39;  39; 88Gam Peg;   886;     ;Gam Peg  ;00 13 14.2;+15 11 01; 2.83;-0.23;  B2IV              ;*
006.437917;-77.254167;      98;  98;   Bet Hyi;  2151;     ;  161    ;00 25 45.1;-77 15 15; 2.80; 0.62;  G2IV              ;*
009.832083;+30.860833;     165; 165; 31Del And;  3627;  548;         ;00 39 19.7;+30 51 39; 3.27; 1.28;  K3III             ;*
012.275000;+57.815833;     219; 219; 24Eta Cas;  4614;  671;         ;00 49 06.0;+57 48 57; 3.44; 0.57;  F9V+dM0           ;*
016.520833;-46.718611;     322; 322;   Bet Phe;  6595;     ;  400    ;01 06 05.0;-46 43 07; 3.31; 0.89;  G8III             ;*
017.147500;-10.182222;     334; 334; 31Eta Cet;  6805;     ;         ;01 08 35.4;-10 10 56; 3.45; 1.16;  K1.5IIICN1Fe0.5   ;*
021.454167;+60.235278;     403; 403; 37Del Cas;  8538;     ;Del Cas  ;01 25 49.0;+60 14 07; 2.68; 0.13;  A5III-IV          ;*
022.091250;-43.318333;     429; 429;   Gam Phe;  9053;     ;Gam Phe  ;01 28 21.9;-43 19 06; 3.41; 1.57;  M0-IIIa           ;*
026.017083;-15.937500;     509; 509; 52Tau Cet; 10700;     ;         ;01 44 04.1;-15 56 15; 3.50; 0.72;  G8V               ;
028.598750;+63.670000;     542; 542; 45Eps Cas; 11415;     ;  652    ;01 54 23.7;+63 40 12; 3.38;-0.15;  B3III             ;*
028.270417;+29.578889;     544; 544;  2Alp Tri; 11443;     ;         ;01 53 04.9;+29 34 44; 3.41; 0.49;  F6IV              ;*
028.660000;+20.808056;     553; 553;  6Bet Ari; 11636;     ;  658    ;01 54 38.4;+20 48 29; 2.64; 0.13;  A5V               ;*
029.692500;-61.569722;     591; 591;   Alp Hyi; 12311;     ;         ;01 58 46.2;-61 34 11; 2.86; 0.28;  F0V               ;*
032.385833;+34.987222;     622; 622;  4Bet Tri; 13161;     ;         ;02 09 32.6;+34 59 14; 3.00; 0.14;  A5III             ;*
034.836250; -2.977500;     681; 681; 68Omi Cet; 14386; 1778;Omi Cet  ;02 19 20.7;-02 58 39; 3.04; 1.42;  M7IIIe+Bep        ;*
040.825000; +3.235833;     804; 804; 86Gam Cet; 16970; 2080;         ;02 43 18.0;+03 14 09; 3.47; 0.09;  A3V               ;*
044.565417;-40.304722;     897; 897;   The1Eri; 18622;     ; 1002    ;02 58 15.7;-40 18 17; 3.24; 0.14;  A4III             ;*
